Player,Salary,Team
Thabo Sefolosha," $3,850,000.00 ",ATL
Thaddeus Young," $14,153,652.00 ",IND
Thomas Robinson," $1,050,961.00 ",LAL
Thomas Walkup," $69,500.00 ",CHI
Thon Maker," $2,568,600.00 ",MIL
Tiago Splitter," $8,550,000.00 ",PHI
Tibor Pleiss," $3,000,000.00 ",PHI
Tim Duncan," $1,881,250.00 ",SAS
Tim Frazier," $2,090,000.00 ",NOH
Tim Hardaway," $2,281,605.00 ",ATL
Timofey Mozgov," $16,000,000.00 ",LAL
Timothe Luwawu-Cabarrot," $1,326,960.00 ",PHI
Tobias Harris," $17,200,000.00 ",DET
Tomas Satoransky," $2,870,813.00 ",WAS
Toney Douglas," $603,558.00 ",MEM
Tony Allen," $5,505,618.00 ",MEM
Tony Parker," $14,445,313.00 ",SAS
Tony Snell," $2,368,327.00 ",MIL
Tony Wroten," $25,000.00 ",MEM
Treveon Graham," $543,471.00 ",CHA
Trevor Ariza," $7,806,971.00 ",HOU
Trevor Booker," $9,250,000.00 ",NJN
Trey Burke," $3,386,598.00 ",WAS
Trey Lyles," $2,340,600.00 ",UTA
Tristan Thompson," $15,330,435.00 ",CLE
Troy Daniels," $3,332,940.00 ",MEM
Troy Williams," $543,471.00 ",MEM
Troy Williams," $181,969.00 ",HOU
Ty Lawson," $1,315,448.00 ",SAC
Tyler Ennis," $1,733,880.00 ",LAL
Tyler Johnson," $5,628,000.00 ",MIA
Tyler Ulis," $918,369.00 ",PHO
Tyler Zeller," $8,000,000.00 ",BOS
Tyreke Evans," $10,661,286.00 ",SAC
Tyson Chandler," $12,415,000.00 ",PHO
Tyus Jones," $1,339,680.00 ",MIN
Udonis Haslem," $4,000,000.00 ",MIA
Victor Oladipo," $6,552,960.00 ",OKC
Vince Carter," $4,264,057.00 ",MEM
Wade Baldwin," $1,793,760.00 ",MEM
Wayne Ellington," $6,000,000.00 ",MIA
Wayne Ellington," $923,670.00 ",SAC
Wayne Selden," $83,119.00 ",MEM
Wayne Selden," $31,969.00 ",NOH
Wesley Johnson," $5,628,000.00 ",LAC
Wesley Matthews," $17,100,000.00 ",DAL
Will Barton," $3,533,333.00 ",DEN
Willie Cauley-Stein," $3,551,160.00 ",SAC
Willie Reed," $1,015,696.00 ",MIA
Willy Hernangomez," $1,375,000.00 ",NYK
Wilson Chandler," $11,200,000.00 ",DEN
Yanick Moreira," $50,000.00 ",TOR
Yi Jianlian," $250,000.00 ",LAL
Yogi Ferrell," $239,767.00 ",DAL
Yogi Ferrell," $202,300.00 ",NJN
Zach Auguste," $60,000.00 ",LAL
Zach LaVine," $2,240,880.00 ",MIN
Zach Randolph," $10,361,445.00 ",MEM
